year,retail_price,purchase_price
1990,4.53,51.35
1991,4.48,49.59
1992,4.53,43.15
1993,4.03,47.92
1994,4.59,81.39
1995,6.03,89.08
1996,5.68,76.95
1997,5.35,92.44
1998,5.31,80.99
1999,4.83,65.92
2000,4.19,56.46
2001,3.76,38.96
2002,3.73,37.93
2003,4.24,40.21
2004,4.56,45.76
2005,4.73,64.83
2006,4.89,72.39
2007,5.45,79.82
2008,6.09,91.81
2009,5.72,86.23
2010,5.77,99.68
2011,6.99,127.7
2012,6.91,113.16
2013,6.81,94.04
2014,6.82,106.04
2015,6.02,97.65
2016,5.83,100.55
2017,6.14,122.11
2018,6.38,101.12